,Nodes,Time (s),Quantity,Type,Hue
318,96,4.417235005710938,Calibrate,Real,Opt 3
319,96,4.416061158065104,Calibrate,Real,Opt 3
320,96,4.412531740648437,Calibrate,Real,Opt 3
321,96,4.4168325520312495,Calibrate,Real,Opt 3
322,96,4.4122965044375,Calibrate,Real,Opt 3
323,128,4.760454500996094,Calibrate,Real,Opt 3
324,128,4.795405208177734,Calibrate,Real,Opt 3
325,128,4.794196340582031,Calibrate,Real,Opt 3
326,128,4.792917259140625,Calibrate,Real,Opt 3
327,128,4.795626884203125,Calibrate,Real,Opt 3
328,192,5.388654124315104,Calibrate,Real,Opt 3
329,192,5.500754260571615,Calibrate,Real,Opt 3
330,192,5.503344988884115,Calibrate,Real,Opt 3
331,192,5.501491148837239,Calibrate,Real,Opt 3
332,192,5.504843890619791,Calibrate,Real,Opt 3
333,256,5.97570291994043,Calibrate,Real,Opt 3
334,256,6.172513534956055,Calibrate,Real,Opt 3
335,256,6.169336374083008,Calibrate,Real,Opt 3
336,256,6.1690212991318365,Calibrate,Real,Opt 3
337,256,6.176334206046874,Calibrate,Real,Opt 3
338,32,3.3684065694999994,Calibrate,Estimate,Opt 3 Estimate
339,64,3.9627034805,Calibrate,Estimate,Opt 3 Estimate
340,96,4.398779182499999,Calibrate,Estimate,Opt 3 Estimate
341,128,4.7130587295,Calibrate,Estimate,Opt 3 Estimate
342,192,5.35218833025,Calibrate,Estimate,Opt 3 Estimate
343,256,5.960972707,Calibrate,Estimate,Opt 3 Estimate
344,512,8.1603990875,Calibrate,Estimate,Opt 3 Estimate
345,1024,12.9636354775,Calibrate,Estimate,Opt 3 Estimate
346,1536,17.08934017075,Calibrate,Estimate,Opt 3 Estimate
347,2048,,Calibrate,Estimate,Opt 3 Estimate
348,2560,,Calibrate,Estimate,Opt 3 Estimate
349,3072,,Calibrate,Estimate,Opt 3 Estimate
350,3584,,Calibrate,Estimate,Opt 3 Estimate
351,4096,,Calibrate,Estimate,Opt 3 Estimate
