,nodes,gpus_per_node,model_time_sim,time_configure,time_create_neurons,time_create_devices,time_connect_neurons,time_connect_devices,time_create_nodes,time_area_packing,time_connect_local,time_network_local_tot,time_connect_global,time_calibrate,total_constr,time_presimulate,time_simulate,sim_factor
22,6,4,10.0,0.0030920787083333337,0.006168701458333333,0.0004034952916666667,7.582351071166667,0.0095058475,0.006572196749999999,2.3927937530833328,7.591856918666667,9.9912228685,57.115949756041665,1.4338337408333333,68.54409844408333,14.370772414083334,149.53400824770836,14.953400824770835
23,6,4,10.0,0.0005217437916666667,0.005833864375,0.0004027196666666667,7.567449927458333,0.012889670375,0.0062365840416666665,2.3838786548333353,7.580339597833333,9.970454836708335,57.049456578208336,1.4245292665416667,68.44496242525,13.948017491875,168.70877764216667,16.870877764216665
24,6,4,10.0,0.006745706708333333,0.017236923875,0.0003983760833333333,7.6146124615,0.038324746625,0.017635299958333333,2.414236728208331,7.6529372081250004,10.084809236291665,57.32259768920834,1.432167946875,68.84632057908333,13.228386065666665,155.840297013,15.5840297013
25,6,4,10.0,0.0016884254166666668,0.006642029458333333,0.0004022979583333333,7.609151504375,0.017123869375,0.007044327416666666,2.3803589117499984,7.62627537375,10.013678612916666,57.209543649958334,1.4279915260833334,68.652902214375,12.771200795916666,153.65651751758335,15.365651751758335
26,6,4,10.0,0.0027303360833333336,0.006822729291666667,0.000397656,7.607884388208333,0.004149023958333334,0.007220385291666667,2.412351751250001,7.612033412166666,10.031605548708335,57.10510283158334,1.426059521125,68.5654982375,12.489133352708334,152.62427965879166,15.262427965879166
27,6,4,10.0,0.02016509475,0.005179888458333333,0.0003996611666666667,7.644356814041667,0.029287443458333333,0.005579549624999999,2.4291264889166646,7.6736442575,10.108350296041666,57.443366598958335,1.4276406125,68.99952260225,13.161969246208335,159.64191313875,15.964191313875
28,6,4,10.0,0.0038519939583333334,0.006092353041666667,0.0004037480416666667,7.6233782165,0.03508799483333334,0.006496101083333333,2.410729803083334,7.658466211333333,10.0756921155,57.24698392,1.4277537962083333,68.75428182566667,12.936659779833334,152.13605135770834,15.213605135770834
29,6,4,10.0,0.004410979666666667,0.006926218916666667,0.0004052530416666667,7.597513323125,0.02053659495833333,0.007331471958333334,2.4072761363749997,7.618049918083333,10.032657526416665,57.14143757558334,1.42881602575,68.60732210741666,12.705406357083334,145.51681583654167,14.551681583654167
30,8,4,10.0,0.0074446543125,0.0051591141875,0.00039179790625,7.4401985954375,0.02990283915625,0.00555091209375,0.00976023299999973,7.47010143459375,7.4854125796875,56.8743140420625,0.882567996125,65.2497392721875,9.3889398974375,149.395537059125,14.939553705912498
31,8,4,10.0,0.0030337735,0.009399041,0.0003955864375,7.47694951871875,0.02481524334375,0.0097946274375,0.009931676906250964,7.5017647620625,7.52149106640625,57.1144213240625,0.8817180975625,65.52066426153125,8.3951042715625,145.883784237,14.588378423699998
32,8,4,10.0,0.007000504375,0.00743210440625,0.00040032990625,7.54156251371875,0.031114259875,0.0078324343125,0.01044272215624975,7.57267677359375,7.5909519300625,57.23397690503125,0.88687423990625,65.718803579375,7.59057138009375,136.23502874875,13.623502874875001
33,8,4,10.0,0.001729325125,0.0231433675,0.00039379059375,7.502463993625,0.05871402915625,0.02353715809375,0.009217220687500749,7.56117802278125,7.5939324015625,57.1879274156875,0.88529505378125,65.66888419615626,10.73971994378125,154.28709519159375,15.428709519159375
